Name,Degree,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality
Dr. Vidya Patil,"MBBS, DNB - Obstetrics & Gynecology, MD - Obstetrics & Gynaecology",88% ,(128 votes),Borivali West, Mumbai,₹800,27,"Gynecologist, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist, Obstetrician"
Ms. Ushma Haria,"Post Graduation Diploma in Dietetics, Masters in Dietetics and Food Service Management",,,Chembur East, Mumbai,₹500,14,TherapistDietitian/Nutritionist
Dr. Bhushan Ghodke,"MS - Ophthalmology, MBBS",100% ,(404 votes),Andheri West, Mumbai,₹600,15,Ophthalmologist/ Eye Surgeon
Dr. Pratik Prakash More,"MD - Homeopathy, BHMS",100% ,(27 votes),Andheri West, Mumbai,₹1200,16,AYUSHHomoeopath
Dr. Neema Mirani,BDS,,,Sion West, Mumbai,₹500,15,Dental Surgeon
Ms. Kanchan Patwardhan,MSc - Dietitics / Nutrition,98% ,(164 votes),Kurla East, Mumbai,₹2000,26,TherapistDietitian/Nutritionist
Dr. Ramesh Patankar,"MBBS, MD - General Medicine, DM - Neurology",79% ,(86 votes),Chembur East, Mumbai,₹1500,39,Neurologist
Dr. Shabarish Menon   (Physiotherapist),BPTh/BPT,,,Tardeo, Mumbai,₹800,t4,TherapistPhysiotherapist
Dr. Vibha Arora,"MBBS, MD - Obstetrics & Gynaecology",98% ,(124 votes),Malad West, Mumbai,₹1000,22,"Gynecologist, Obstetrician"
Dr. Urmil Arora,"BDS, MDS - Oral & Maxillofacial Surgery",,,Khar West, Mumbai,₹300,58,"Dentist, Oral And MaxilloFacial Surgeon, Dental Surgeon"
Dr. Akshaya Shetty,"MD - General Medicine, MBBS",100% ,(68 votes),Andheri East, Mumbai,₹600,11,Consultant Physician
Dr. Mitshu Doshi   (Physiotherapist),BPTh/BPT,97% ,(108 votes),Kandivali, Mumbai,₹400,15,TherapistPhysiotherapist
Dr. Priyal Virani,BDS,93% ,(30 votes),Mulund West, Mumbai,₹400,16,"Dentist, Implantologist"
Dr. Rikin Gogri,BDS,99% ,(269 votes),Goregaon West, Mumbai,₹400,22,"Dentist, Dental Surgeon, Cosmetic/Aesthetic Dentist"
Dr. Sanket Sheth,"BDS, MDS - Conservative Dentistry & Endodontics",99% ,(365 votes),Ghatkopar East, Mumbai,₹500,16,"Endodontist, Cosmetic/Aesthetic Dentist, Implantologist"
Dr. Prakash L. Lulla,"BHMS, MD - Homeopathy",100% ,(41 votes),Chembur East, Mumbai,₹1000,20,AYUSHHomoeopath
Dr. Janhavi Banage,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",100% ,(42 votes),Borivali West, Mumbai,₹100,t9,Orthodontist
Ms. Ruchi Manek,MA - Psychology,,,Matunga, Mumbai,₹1600,13,"TherapistCounselling Psychologist, Psychotherapist"
Dr. Prerna Sahu,BDS,,,Mulund East, Mumbai,,t3,Dentist
Dr. Madhavi Jeste,"MBBS, MS - Ophthalmology",,,Mahim, Mumbai,₹1300,35,Ophthalmologist/ Eye Surgeon
Dr. Nikita Patel,BDS,100% ,(18 votes),Andheri East, Mumbai,₹300,n5,"Dentist, Dental Surgeon"
Dr. Pradeep Moonot,"MBBS, DNB - Orthopedics/Orthopedic Surgery, MS - Orthopaedics",100% ,(18 votes),Santacruz West, Mumbai,₹2200,28,Orthopedic surgeon
Dr. Kaushik Gandhi,"BDS, FICOI",100% ,(141 votes),Sion West, Mumbai,₹800,41,"Dental Surgeon, Implantologist"
Ms. Mamtha Shetty,MA - Psychology,,,Mulund West, Mumbai,₹2000,29,TherapistPsychologist
Dr. Chitrang Thaker,"BDS, Certificate of Oral Implantology",97% ,(681 votes),Goregaon East, Mumbai,₹300,23,"Dentist, Implantologist, Cosmetic/Aesthetic Dentist"
Dr. Swati Allahbadia,"MD - Obstetrics & Gynaecology, DGO, Diploma in Reproductive Medicine (Germany), MBBS",94% ,(49 votes),Parel, Mumbai,₹1500,36,"Infertility Specialist, Gynecologist, Obstetrician"
Dr. Neha Pandey,"MBBS, MD - Pediatrics",,,Malad West, Mumbai,₹800,n8,Pediatrician
Ms. Mitalee Doshi,Post Graduate In Food Science And Nutrition,98% ,(96 votes),Mulund West, Mumbai,₹800,15,TherapistDietitian/Nutritionist
Dr. Kunjal Bathija,"MBBS, MD - Obstetrics & Gynaecology",78% ,(37 votes),Cuffe Parade, Mumbai,₹2000,31,"Obstetrician, Infertility Specialist"
Dr. Jitendra Jagtap,"MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",,,Parel, Mumbai,₹1850,14,"Laparoscopic Surgeon, Urologist"
Dr. Chirag Dalal,"MBBS, MS - Orthopaedics",92% ,(92 votes),Bhandup West, Mumbai,₹1000,18,"Orthopedic surgeon, Joint Replacement Surgeon, Spine And Pain Specialist, Spine Surgeon (Ortho)"
Dr. Rajasree S,"Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh), MBBS",,,Santacruz West, Mumbai,₹1500,16,Pediatrician
Dr. Zahabia Basrai   (Physiotherapist),BPTh/BPT,100% ,(116 votes),Churchgate, Mumbai,₹1500,14,TherapistPhysiotherapist
Dr. Hetal Chheda,BDS,100% ,(42 votes),Borivali West, Mumbai,₹400,16,"Dental Surgeon, Cosmetic/Aesthetic Dentist"
Dr. Piyush Sureshkumar Shah,"MBBS, Diploma in Child Health (DCH)",98% ,(246 votes),Malad West, Mumbai,₹1000,18,Pediatrician
Dr. Ankita Jadhav,BDS,,,Chembur East, Mumbai,₹500,t9,"Dentist, Implantologist"
Dr. Sneha Maurya,"BDS, MDS - Prosthodontist And Crown Bridge",,,Ghatkopar East, Mumbai,₹500,12,Dentist
Dr. Sayyed HabibKarim,BUMS,100% ,(25 votes),Bandra West, Mumbai,₹500,12,AYUSHUnani
Dr. Aditi Singhi,"MBBS, MS - Obstetrics & Gynaecology",96% ,(23 votes),Chembur, Mumbai,₹1200,20,"Gynecologist, Obstetrician, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Mr. Chaitanya Ulhas Mantri,Bachelor of Occupational Therapy (BOT),99% ,(163 votes),Goregaon East, Mumbai,₹1000,16,"TherapistGeriatric OT, Occupational/Ergo Medicine Therapist, OT For Mentally Challenged"
Dr. Mangesh Patil,"DNB - Urology/Genito - Urinary Surgery, MBBS, MS - General Surgery, MNAMS - General Surgery",95% ,(19 votes),Mahim, Mumbai,₹1800,23,"Urologist, Urological Surgeon"
Dr. Anushka,BDS,,,Bandra West, Mumbai,₹200,t5,Dentist
Dr. Prarthana Thakkar,BDS,,,Ghatkopar East, Mumbai,₹500,n6,"Dentist, Dental Surgeon"
Dr. Astha Jain,"MBBS, MS - Ophthalmology",,,Chembur, Mumbai,₹1000,13,Ophthalmologist/ Eye Surgeon
Dr. Sunayana Dubey,"MBBS, DGO",94% ,(16 votes),Kandivali East, Mumbai,₹700,22,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Mayuresh Deepak Pradhan,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",,,Borivali West, Mumbai,₹1000,21,Cardiothoracic and Vascular Surgeon
Dr. Mauli Potdar Shah,"MBBS, MS - Ophthalmology, DO",97% ,(39 votes),Kandivali East, Mumbai,₹800,24,Ophthalmologist/ Eye Surgeon
Dr. Utsav Shah   (Physiotherapist),MPTh/MPT - Musculoskeletal Physiotherapy,,,Prabhadevi, Mumbai,₹2500,10,TherapistSports and Musculoskeletal Physiotherapist
Dr. Rahul R. Modi,"MBBS, MS - ENT, DNB - Otorhinolaryngology",95% ,(19 votes),Powai, Mumbai,₹1300,16,"ENT/ Otorhinolaryngologist, Head and Neck Surgeon"
Dr. Ujjyani Sengupta Pawar,MD - Medicine (Equivalent to MBBS),100% ,(59 votes),Vileparle West, Mumbai,₹950,n3,General Physician
Dr. Vilas Kulkarni,"MD - Pediatrics, MBBS",98% ,(96 votes),Andheri West, Mumbai,₹1000,53,Pediatrician
Dr. Trishna Chitnis,"DNB - Otorhinolaryngology, MBBS",,,Andheri West, Mumbai,₹1200,t7,ENT/ Otorhinolaryngologist
Dr. Eeenal Jain   (Physiotherapist),BPTh/BPT,,,Andheri East, Mumbai,₹500,t4,TherapistPhysiotherapist
Dr. Sachin Ashokrao Giri,"MBBS, MS - General Surgery, MCh - Neuro Surgery, FCPS - General Surgery",,,Powai, Mumbai,₹1600,13,Neurosurgeon
Dr. Pravin Hanumant Shinde,"MBBS, DNB - General Surgery",,,Sion, Mumbai,₹1000,20,"General Surgeon, Laparoscopic Surgeon, Proctologist"
Dr. Gautam Kikeri,"BDS, MDS - Conservative Dentistry & Endodontics, Fellowship and Diplomate in Implantology from ICOI (USA)",,,Powai, Mumbai,₹700,25,"Dentist, Implantologist"
Dr. Priyam Bhagat,"MD - Skin & VD, Diploma in Dermatology, MBBS",98% ,(455 votes),Goregaon East, Mumbai,₹1200,20,"Dermatologist, Cosmetologist, Trichologist, Aesthetic Dermatologist, Pediatric Dermatologist"
Dr. Rasika Ambekar,BDS,,,Bandra West, Mumbai,₹200,t6,Dentist
Dr. Balkrishna M Inamdar,"MBBS, MD - Obstetrics & Gynaecology",100% ,(12 votes),Goregaon West, Mumbai,₹1000,44,"Gynecologist, Obstetrician"
Dr. Vijay Kulkarni,MBBS,,,Mahim, Mumbai,₹2300,19,General Physician
Dr. Rushad Nariman,"BDS, MDS - Prosthodontist And Crown Bridge",100% ,(32 votes),Malad West, Mumbai,₹500,14,"Dental Surgeon, Prosthodontist, Implantologist, Dentist"
Dr. Usha Beloskar,"MBBS, Diploma in Dermatology",,,Mahim, Mumbai,₹1300,27,"Dermatologist, Cosmetologist, Trichologist"
Dr. Bhuta Maunil Ajay,"MBBS, MD - Radio Diagnosis/Radiology, DNB - Radio Diagnosis",,,Chembur, Mumbai,₹1500,13,"Interventional Radiologist, Radiologist"
Dr. Siddhesh Vijay Rane,"MBBS, MD - General Medicine, DM - Medical Gastroenterology",,,Malad, Mumbai,₹1000,10,Gastroenterologist
Dr. Sweta Budyal,"MBBS, DM - Endocrinology",97% ,(39 votes),Mulund West, Mumbai,₹2000,12,"Endocrinologist, Diabetologist"
Dr. Sanket Rane,"BDS, MDS - Prosthodontist And Crown Bridge",99% ,(83 votes),Jogeshwari East, Mumbai,₹300,13,"Prosthodontist, Dentist"
Dr. Saudnya Rudrawar,BDS,,,Chembur East, Mumbai,₹300,n6,"Dentist, Dental Surgeon"
Dr. Mihir K. Upadhyaya,"MS - Orthopaedics, MBBS",,,Worli, Mumbai,₹1500,12,Spine Surgeon (Ortho)
Dr. Anuja Jadhav,"MBBS, MD - Dermatology , Venereology & Leprosy",98% ,(49 votes),Dadar, Mumbai,₹800,10,"Dermatologist, Aesthetic Dermatologist, Trichologist"
Dr. Rakhee Sahu,"MBBS, MD - Obstetrics & Gynaecology",95% ,(21 votes),Powai, Mumbai,₹1300,25,Gynecologist
Dr. Saloni Suchak,"MBBS, MS - Obstetrics & Gynaecology",99% ,(617 votes),Malad West, Mumbai,₹1000,18,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Rupesh Singh,DHMS (Diploma in Homeopathic Medicine and Surgery),95% ,(168 votes),Mira Road, Mumbai,₹700,24,AYUSHHomoeopath
Ms. Shweta Uchil,Post Graduation Diploma in Dietetics,93% ,(15 votes),Kandivali West, Mumbai,,24,TherapistDietitian/Nutritionist
Dr. Ashutosh Baghel,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",,,Borivali West, Mumbai,₹1000,18,Urologist
Ms. Anushree Chatterji,MA - Psychology,98% ,(61 votes),Chembur, Mumbai,₹1500,14,"TherapistPsychotherapist, Counselling Psychologist"
Dr. Vinita Tekchandani,"BDS, MDS - Oral Pathology and Oral Microbiology",100% ,(11 votes),Bandra West, Mumbai,₹500,12,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Pratichi Kadam,"MBBS, MD - Pediatrics",,,Santacruz West, Mumbai,₹1500,11,Pediatrician
Dr. Abhijit Kale,"MBBS, MS - Orthopaedics",,,Mahim, Mumbai,₹1300,21,"Spine Surgeon (Ortho), Joint Replacement Surgeon"
Dr. Gouri Sultane Gupta,"MBBS, DNB - Obstetrics & Gynecology, DGO, FCPS - Mid. & Gynae",92% ,(125 votes),Goregaon West, Mumbai,₹1000,20,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Aditi Phulpagar,"MBBS, MD - Obstetrics & Gynaecology",,,Mahim, Mumbai,₹1300,22,Gynecologist
Ms. Jennifer Dhuri,PG Diploma in Dietitics and Hospital Food Service,98% ,(54 votes),Powai, Mumbai,₹2500,25,TherapistDietitian/Nutritionist
Dr. Priya Karande   (Physiotherapist),BPTh/BPT,100% ,(29 votes),Parel, Mumbai,₹500,t9,"TherapistNeuro Physiotherapist, Physiotherapist"
Dr. Rituparna Roy,"MBBS, DNB - Family Medicine",98% ,(48 votes),Andheri West, Mumbai,₹800,17,General Physician
Dr. Prachi M Mhaskar,BAMS,,,Chembur, Mumbai,₹299,14,AYUSHAyurveda
Dr. Atul Narayankar,"MBBS, MD - General Medicine, DNB  - Medical Oncology",,,Mira Road, Mumbai,₹1000,12,Medical Oncologist
Dr. Tanveer Abdul Majeed,"MBBS, MS - General Surgery, DNB - General Surgery, DNB - Surgical Oncology",,,Mahim, Mumbai,₹1800,30,Surgical Oncologist
Dr. Rohit Munot,"MBBS, MCh - Plastic & Reconstructive Surgery",,,Andheri West, Mumbai,₹500,18,"Plastic Surgeon, General Physician"
Dr. Prafull Sabadra,BDS,99% ,(317 votes),Colaba, Mumbai,₹1000,27,"Dentist, Implantologist"
Dr. Apeksha Chaudhari,"MBBS, DVD",98% ,(88 votes),Marol, Mumbai,₹800,t9,"Dermatologist, Trichologist, Cosmetologist"
Dr. Archana Ajit,"MBBS, MS - ENT",69% ,(16 votes),Vikhroli East, Mumbai,₹500,36,ENT/ Otorhinolaryngologist
Dr. Shruti Rai,"MBBS, DGO",100% ,(23 votes),Chembur, Mumbai,₹700,n9,"Gynecologist, Infertility Specialist, Obstetrician"
Dr. Samir Bagadia,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",,,Andheri West, Mumbai,₹1000,n9,"Urologist, Andrologist, Laparoscopic Surgeon"
Dr. Rahul Pagare,BDS,98% ,(452 votes),Govandi, Mumbai,₹200,17,"Dentist, Dental Surgeon, Implantologist, Cosmetic/Aesthetic Dentist"
Ms. Mohini Agarwaal,MA - Psychology,,,Andheri West, Mumbai,₹2500,13,"TherapistCounselling Psychologist, Psychotherapist"
Dr. Ashitesh Kumar,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",99% ,(198 votes),Chembur East, Mumbai,₹500,12,"Orthodontist, Dentist, Dental Surgeon"
Dr. Kainaz Billimoria,BHMS,,,Cumballa Hill, Mumbai,₹500,10,AYUSHHomoeopath
Dr. Vikita Jain,BDS,,,Kemps Corner, Mumbai,₹300,t9,Dentist
Dr. Gauri K Godse,"MBBS, DDV",,,Mahim, Mumbai,₹1300,t5,Dermatologist
Dr. Sheetal Mohite,"Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, MBBS",92% ,(13 votes),Mahim, Mumbai,₹1300,24,Orthopedic surgeon
Dr. Ashish Doshi,"MBBS, MS - Ophthalmology",,,Santacruz West, Mumbai,₹1200,24,Ophthalmologist/ Eye Surgeon
Dr. Pratiksha Tiwari,"BDS, MDS - Prosthodontics",,,Mulund East, Mumbai,₹300,t8,"Dental Surgeon, Prosthodontist"
Dr. Shital S Jadhav,"DNB - Obstetrics & Gynecology, MBBS",99% ,(87 votes),Kandivali East, Mumbai,₹1000,19,"Gynecologist, Obstetrician, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn), Reproductive Endocrinologist (Infertility)"
Dr. Suresh Advani,"MBBS, DM - Oncology",71% ,(48 votes),Mahim, Mumbai,₹5000,50,Medical Oncologist
Dr. Shaikh Firdos Mukhtar Ahmed   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",100% ,(13 votes),Prabhadevi, Mumbai,₹1000,13,"TherapistSports and Musculoskeletal Physiotherapist, Physiotherapist, Geriatric Physiotherapist"
Dr. Mayuresh Hinduja,"MBBS, MCh - Neuro Surgery",,,Mahim, Mumbai,₹1500,t8,"Neurosurgeon, Spine Surgeon (Neuro), Spine And Pain Specialist"
Dr. Supriya Bhat,"MS - ENT, MBBS",,,Vileparle West, Mumbai,₹1000,10,ENT/ Otorhinolaryngologist
Dr. Mayuri Raje,BDS,,,Mulund East, Mumbai,,t7,Dentist
Dr. Sanket Brahmbhatt,"BDS, MDS - Periodontology and Oral Implantology",100% ,(27 votes),Vileparle West, Mumbai,₹500,11,"Dentist, Periodontist, Implantologist"
Dr. Anuj Shah,"MDS - Paedodontics And Preventive Dentistry, BDS",,,Malad, Mumbai,₹500,10,Pediatric Dentist
Dr. Tabrez Lakha,"BDS, MDS - Prosthodontist And Crown Bridge",95% ,(21 votes),Khar West, Mumbai,₹500,11,Dentist
Dr. Sahil Nasir Fulara,"MD - General Medicine, MBBS",100% ,(163 votes),Peddar Road, Mumbai,₹2500,12,General Physician
Dr. Nimesh Mehta,MS - Ophthalmology,95% ,(826 votes),Borivali West, Mumbai,₹850,28,Ophthalmologist/ Eye Surgeon
Dr. Aastha Chandra,BDS,,,Juhu, Mumbai,₹500,12,Dental Surgeon
Dr. Ila Tyagi,"MBBS, MD - Anaesthesiology, DGO, DNB - Obstetrics & Gynecology",88% ,(25 votes),Chembur, Mumbai,₹1200,31,Reproductive Endocrinologist (Infertility)
Dr. Umesh Shantilal Wadile,"MBBS, DNB - General Medicine",,,Malad West, Mumbai,₹1000,14,General Physician
Ms. Dr Rupal Chaudhary,BSc - Audiology and Speech Rehabilitation,100% ,(66 votes),Dadar West, Mumbai,₹1000,28,"TherapistAudiologist, Speech Therapist"
Dr. Sidharth Verma,"MBBS, MD - Anaesthesiology, DNB - Anaesthesia",96% ,(220 votes),Chembur, Mumbai,₹1500,15,"Pain Management Specialist, Spine And Pain Specialist"
Dr. Shruti Sheth,BHMS,,,Ghatkopar East, Mumbai,₹400,15,AYUSHHomoeopath
Dr. Pratibha Shukla,MBBS,100% ,(11 votes),Mulund West, Mumbai,₹400,n8,General Physician
Dr. Sarang Deshpande,"MBBS, MS - Orthopaedics",84% ,(19 votes),Borivali West, Mumbai,₹1000,20,Joint Replacement Surgeon
Dr. Samantha Castellino,"MBBS, MD - Pediatrics",99% ,(116 votes),Andheri East, Mumbai,₹900,13,Pediatrician
Dr. Anuradha Narayanan,"MBBS, DGO, DNB - Obstetrics & Gynecology",,,Chembur, Mumbai,₹1000,17,"Gynecologist, Obstetrician"
Dr. Varsha Suryawanshi,DHMS (Diploma in Homeopathic Medicine and Surgery),,,Mulund West, Mumbai,₹500,11,AYUSHHomoeopath
Dr. Saijyot Raut,"MBBS, MS - Orthopaedics",85% ,(27 votes),Andheri West, Mumbai,₹1500,n8,"Spine Surgeon (Ortho), Orthopedic surgeon"
Ms. Rajni Chetan,MSc. - Dietetics & Food Service Management,,,Borivali West, Mumbai,₹600,46,TherapistDietitian/Nutritionist
Dr. Nidha Khan,BHMS,,,Andheri West, Mumbai,,17,AYUSHHomoeopath
Dr. Gauri Patil,"DDVL, MBBS",91% ,(11 votes),Dadar, Mumbai,₹700,12,"Dermatologist, Aesthetic Dermatologist, Trichologist"
Dr. Sarthak Vaidya,"BDS, MDS - Orthodontics",100% ,(79 votes),Ghatkopar East, Mumbai,₹500,13,"Orthodontist, Dentofacial Orthopedist, Dentist"
Dr. Devesh Dholakia,"MBBS, MS - Orthopaedics",,,Parel, Mumbai,₹1750,32,Orthopedic surgeon
Dr. Swati Vilas Indulkar,BAMS,,,Sion Koliwada, Mumbai,₹250,32,AYUSHAyurveda
Dr. Mansi Sanghvi,"MBBS, DNB - Dermatology & Venereology",97% ,(99 votes),Powai, Mumbai,₹1200,19,"Dermatologist, Cosmetologist, Trichologist, Dermatosurgeon, Aesthetic Dermatologist, Immunodermatologist, Venereologist, Pediatric Dermatologist"
Dr. Priyanka Deshpande,"BDS, MDS - Prosthodontics",99% ,(139 votes),Borivali West, Mumbai,₹600,20,"Prosthodontist, Dentist, Dental Surgeon"
Dr. Prabhjot Manchanda,"MBBS, DNB - Obstetrics & Gynecology",89% ,(53 votes),Ghatkopar East, Mumbai,₹800,13,"Obstetrician, Gynecologist"
Dr. Gaurav Shalya,"MBBS, MCh - Plastic Surgery, MS - General Surgery",,,Chembur, Mumbai,₹1000,15,"Plastic Reconstruction Surgeon, Plastic Surgeon"
Dr. Ankita Sanghvi Shetty,BDS,100% ,(13 votes),Chembur, Mumbai,₹300,15,Dentist
Dr. Prashant Patel,BDS,99% ,(476 votes),Borivali West, Mumbai,₹500,26,Dentist
Dr. Dias Jewel Josephine James,MBBS,,,Borivali West, Mumbai,₹600,n8,General Physician
Ms. Richa Doshi,"BSc. - Home Science (Applied Nutrition), Post Graduate Diploma in Clinical Nutrition & Dietetics",97% ,(205 votes),Kandivali West, Mumbai,₹800,13,TherapistDietitian/Nutritionist
Dr. Umakant V. Ragte,MBBS,,,Mumbai Central, Mumbai,₹550,47,"General Physician, General Practitioner, Sexologist"
Dr. Sanjay Borude,"MS - General Surgery, MBBS",98% ,(102 votes),Chembur, Mumbai,₹3000,39,Bariatric Surgeon
Dr. Ashwini Wagh,"MBBS, MS - General Surgery",,,Mahim, Mumbai,₹1300,33,General Surgeon
Dr. Kaynat Gilani,"BDS, MDS - Prosthodontics",,,Khar West, Mumbai,₹1000,13,"Dentist, Prosthodontist"
Dr. V. G. Mehendale,"MBBS, MS - General Surgery",,,Mahim, Mumbai,₹1300,48,Laparoscopic Surgeon
Dr. Rajesh Kamdar,"BDS, MDS - Orthodontics",98% ,(541 votes),Andheri West, Mumbai,₹800,40,Orthodontist
Dr. Nehal Gandhi,BDS,100% ,(55 votes),Borivali West, Mumbai,₹300,t8,Dentist
Dr. Harshal Bam,"MBBS, DNB - Orthopedics/Orthopedic Surgery, Fellow in Spine Surgery",,,Parel, Mumbai,₹2100,15,Spine Surgeon (Ortho)
Dr. Megha Sherigar   (Physiotherapist),BPTh/BPT,,,Borivali West, Mumbai,₹600,t2,TherapistPhysiotherapist
Dr. Brijesh Dube,"MBBS, MS - General Surgery",,,Malad West, Mumbai,₹1000,25,"Laparoscopic Surgeon, Bariatric Surgeon, General Surgeon"
Dr. Samir S Shirodkar,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",,,Mahim, Mumbai,₹1800,29,Urologist
Dr. Shaivali Joshi,"DNB - Pediatrics, Diploma in Child Health (DCH), MD - Pediatrics, FCPS - Child Health",,,Matunga West, Mumbai,₹1000,26,Pediatrician
Dr. Swapnil Mehta,"DM - Pulmonary Medicine & Critical Care Medicine, MD - General Medicine, MBBS",73% ,(15 votes),Powai, Mumbai,₹1300,17,"Pulmonologist, Critical Care Medicine"
Dr. Malay Mehta,"MD - Dermatology , Venereology & Leprosy, MBBS",96% ,(111 votes),Vileparle West, Mumbai,₹1000,12,"Dermatologist, Hair Transplant Surgeon, Aesthetic Dermatologist"
Dr. Hemlata Hardasani,"MBBS, DGO",99% ,(1736 votes),Andheri West, Mumbai,₹1500,27,"Gynecologist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist"
Dr. Raju Sahetya,"MD - Obstetrics & Gynaecology, DGO, FCPS - Mid. & Gynae, MBBS",95% ,(115 votes),Malad West, Mumbai,₹1000,44,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Sneha Hukmani Sheth,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",100% ,(65 votes),Ghatkopar East, Mumbai,₹500,15,"Orthodontist, Dentist, Dentofacial Orthopedist"
Dr. Nirali Dedhia,"MBBS, MS - Obstetrics & Gynaecology",95% ,(41 votes),Malad, Mumbai,₹800,)9,"Gynecologist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Parag Vibhakar,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery",98% ,(45 votes),Andheri East, Mumbai,₹1500,17,"Plastic Surgeon, Burn Surgeon"
Dr. Vaibhav B. Kasodekar,"MBBS, MS - Orthopaedics",,,Mahim, Mumbai,₹1300,25,Orthopedic surgeon
Dr. Susheel Deshmukh,"MBBS, MS - Ophthalmology",97% ,(61 votes),Goregaon East, Mumbai,₹500,19,Ophthalmologist/ Eye Surgeon
Dr. Renubala Rout,"DNB - Obstetrics & Gynecology, MBBS",96% ,(50 votes),Kandivali East, Mumbai,₹1000,17,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Reema Nanavati,"MDS - Conservative Dentistry & Endodontics, BDS",100% ,(48 votes),Borivali, Mumbai,₹300,15,"Dentist, Endodontist, Cosmetic/Aesthetic Dentist"
Dr. Pooja Jain,"BDS, MDS - Oral & Maxillofacial Surgery",,,Goregaon West, Mumbai,₹500,22,"Oral And MaxilloFacial Surgeon, Dentist"
Dr. Pranav Thakkar,"BDS, MDS - Conservative Dentistry & Endodontics",100% ,(13 votes),Mulund West, Mumbai,₹250,t9,"Dentist, Endodontist, Cosmetic/Aesthetic Dentist"
Dr. Sony Mehta,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",99% ,(424 votes),Mahim, Mumbai,₹1500,10,Urologist
Dr. Mukesh Agrawal,"MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, DGO, MBBS",,,Malad West, Mumbai,₹1600,32,"Infertility Specialist, Gynecologist, Obstetrician"
Dr. Sameer Sadawarte,"MBBS, Diploma in Child Health (DCH)",,,Mulund West, Mumbai,₹1300,23,Pediatrician
Dr. Khushee Agrawal,BDS,98% ,(275 votes),Goregaon East, Mumbai,₹300,12,Dentist
Dr. Amol Gaikwad,BAMS,69% ,(13 votes),Mira Road, Mumbai,₹299,17,AYUSHAyurveda
Ms. Sheetal Bidkar,"M.Phil - Psychology, P.G. Diploma in Child & Family Counseling, BA - Psychology",100% ,(29 votes),Peddar Road, Mumbai,₹3000,15,TherapistCounselling Psychologist
Dr. Bhagunde Jaya Ashok,BHMS,,,Vakola, Mumbai,₹500,20,AYUSHHomoeopath
Dr. Mukund Andakar,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",,,Tardeo, Mumbai,₹1500,32,Urologist
Dr. Gaurav Poplai,"BDS, MDS - Conservative Dentistry & Endodontics",99% ,(98 votes),Bandra West, Mumbai,₹500,15,"Endodontist, Cosmetic/Aesthetic Dentist, Dental Surgeon, Dentist, Implantologist"
Dr. Vanita Raut,"MBBS, MD - Obstetrics & Gynaecology",97% ,(88 votes),Powai, Mumbai,₹1300,43,"Obstetrician, Gynecologist"
Dr. Siddharth Vinod Lakhani,"MBBS, MD - General Medicine, DM - Nephrology, DNB - Nephrology",100% ,(23 votes),Mahim, Mumbai,₹1800,14,"Nephrologist/Renal Specialist, General Physician"
Dr. Ankur Jain,"MBBS, DNB - General Medicine",,,Borivali West, Mumbai,₹1000,11,General Physician
Ms. Smita Nanda R D,PGD ND,97% ,(302 votes),Kandivali East, Mumbai,₹1200,17,TherapistDietitian/Nutritionist
Dr. Nirmal Nitin Gujarathi,"DNB - Obstetrics & Gynecology, DGO, MBBS",,,Malad West, Mumbai,₹1000,17,Gynecologist
Dr. Nandita P Palshetkar,"MBBS, MD - Obstetrics & Gynaecology, FCPS - Mid. & Gynae, Fellow of Indian College of Obstetrics and Gynecology (FICOG)",85% ,(47 votes),Opera House, Mumbai,₹1000,38,"Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Meenu Dinesh,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",,,Chembur East, Mumbai,₹200,t7,"Dentist, Orthodontist"
